title,contents,decoder_input,decoder_target
가위 바위,아침 찬바람 기러기 우리 선생 엽서 구리구리 멍텅구리 가위 바위 반복,sostoken 가위 바위,가위 바위 eostoken
우리 모두 같이,우리 손뼉 우리 손뼉 우리 우리 손뼉 우리 우리 우리 우리 간주 우리 인사 안녕 우리 인사 안녕 우리 우리 인사 안녕하세요,sostoken 우리 모두 같이,우리 모두 같이 eostoken
나의 하루,아침 햇빛 아침 하루 생각 학교 동무들 공부 심부름 간주 저녁노을 하루 얘기 아빠 엄마 집안 공부 예습,sostoken 나의 하루,나의 하루 eostoken
할미꽃,뒷동산 할미꽃 할미꽃 할미꽃 할미꽃 우섭다 할미꽃 아지랑이 간주 뒷동산 할미꽃 할미꽃 할미꽃 할미꽃,sostoken 할미꽃,할미꽃 eostoken
내가 제일 좋아하는 창작동요제,몇천 어머니 어머니 얼굴 사랑 몇천 어머니 어머니 반복,sostoken 내가 제일 좋아하는 창작동요제,내가 제일 좋아하는 창작동요제 eostoken
귀뚜라미 우는,귀뚜라미 또르르 달밤 동무 동무 그곳 지금 귀뚜리 간주 귀뚜라미 또르르 달밤 동무 지난날 동무 지금 생각 있을까,sostoken 귀뚜라미 우는,귀뚜라미 우는 eostoken
할아버지 시계,마루 시계 우리 할아버지 시계 할아버지 아침 시계란다 시계 할아버지 옛날 시계 이젠 가지 동안 쉬잖고 똑딱똑딱 할아버지 똑딱똑딱 이젠 가지 반복,sostoken 할아버지 시계,할아버지 시계 eostoken
고향 초등학교 학년 과정,고향 여기 하늘 끝닿 저기 거긴 아카시아 고향 뻐꾹새 간주 고개 너머 고개 아득 고향 저녁 저기 거긴 논길 휘파람 아이들,sostoken 고향 초등학교 학년 과정,고향 초등학교 학년 과정 eostoken
가을,단풍잎 동화책 갈피 은행잎 그림책 갈피 간주 라시도레미파미 레도시라솔라시 라시도레미파미레 도시라,sostoken 가을,가을 eostoken
봄을 그리는 색연필 창작동요대회,남청 색연필 하늘 하양 초록 색연필 정성 토끼 구름 솜구름 골짜기 냇물 보리밭 물결 도화지 종달새 간주 초록 연두 색연필 나뭇가지 노랑 분홍 색연필 정성 새싹들 하르르 살구꽃 진달래꽃 꽃다지 민들레꽃 도화지 노랑나비,sostoken 봄을 그리는 색연필 창작동요대회,봄을 그리는 색연필 창작동요대회 eostoken
수건 돌리기 창작동요제,하늘 잔디밭 모여앉아서 수건돌리기 랄랄라 누가누 술래 가위 바위 술래 우리 손뼉 노래 하늘 소리 노래 간주 시냇물 구름 모래밭 수건돌리기 랄랄라 누가누 술래 가위 바위 술래 누구 수철이 노래 손뼉,sostoken 수건 돌리기 창작동요제,수건 돌리기 창작동요제 eostoken
속을 걸어요 창작동요제,산새들 꽃향기 그윽 해님 다람쥐 얼굴 우리 숲속 간주 솔바람 도랑물 산노루 웃음 얼굴 우리,sostoken 속을 걸어요 창작동요제,속을 걸어요 창작동요제 eostoken
푸른 잔디,냄새 잔디 하늘 구름 가슴 노래 간주 우리들 노랫소리 하늘 구름 노래,sostoken 푸른 잔디,푸른 잔디 eostoken
구름 초등학교 학년 과정,하늘 구름 외양간 송아지 음메 음메 어머니 얼굴 고향 구름 간주 하늘 구름 뒤뜰 봉선화 고향 구름,sostoken 구름 초등학교 학년 과정,구름 초등학교 학년 과정 eostoken
꽃동산 초등학교 학년 과정,꽃동산 우리 고장 오늘 동산 일꾼 반복,sostoken 꽃동산 초등학교 학년 과정,꽃동산 초등학교 학년 과정 eostoken
앞으로 초등학교 학년 과정,지구 세상 어린이 세상 어린이 소리 달나라 반복,sostoken 앞으로 초등학교 학년 과정,앞으로 초등학교 학년 과정 eostoken
기린이랑 사슴이랑,기린 사슴 숨바꼭질 재밌다 바위 나무 사슴뿔 반복,sostoken 기린이랑 사슴이랑,기린이랑 사슴이랑 eostoken
파란 하늘 초등학교 학년 과정,하늘 하늘 흰구름 우리들 하늘 하늘 흰구름 우리 반복,sostoken 파란 하늘 초등학교 학년 과정,파란 하늘 초등학교 학년 과정 eostoken
푸른 꿈을 키워가요 창작동요제,날개 하늘 세상 망망한 바다 우리 희망 숲속 기상 마음 하늘 새싹들 간주 가슴속 세계 마음 가득 가슴속 사랑 미소 얼굴 평화 마음 하늘 새싹들,sostoken 푸른 꿈을 키워가요 창작동요제,푸른 꿈을 키워가요 창작동요제 eostoken
어린이 행진곡 초등학교 학년 과정,어깨동무 우리들 씩씩 어린이라 금수강산 새싹 간주 하나 주먹 우리들 용감 어린이라 자유대한 새싹,sostoken 어린이 행진곡 초등학교 학년 과정,어린이 행진곡 초등학교 학년 과정 eostoken
코끼리 아저씨,화창 봄날 코끼리 아저씨 가랑잎 태평양 고래 아가씨 코끼리 아저씨보고 첫눈 웃음 손짓 당신 육지 멋쟁이 바다 이쁜이 천생연분 결혼 예식장 용궁 예식장 주례 문어 아저씨 피아노 오징어 예물 조개껍데기 반복,sostoken 코끼리 아저씨,코끼리 아저씨 eostoken
인사노래,아침 굿모닝 점심 굿에프터눈 친구 굿바 잠자리 굿나잇 반복,sostoken 인사노래,인사노래 eostoken
봄동산 꽃동산,도레미 소리 도레미 노래 동생 언니 우리 봄동산 간주 도레미 소리 도레미 노래 냇물 다들 우리 동네 꽃동산,sostoken 봄동산 꽃동산,봄동산 꽃동산 eostoken
달밤,달밤 동이 깃자 물깃 동이 깃자 달밤 물깃 아가씨들 밤길 달밤 동이 깃자 물깃 동이 깃자 물깃다 달깃 아가씨들 조심조,sostoken 달밤,달밤 eostoken
뻐꾸기 초등학교 학년 과정,한적 산길 우거진 뻐꾸기 노랫소리 뻐뻐꾹 랄라랄랄랄라 랄라라 뻐꾹 랄라랄랄랄라 랄라라 뻐꾹 랄라랄랄랄라 랄라라 뻐꾹 랄라랄랄라 뻐꾹 간주 시냇물 뻐꾸기 노랫소리 뻐뻐꾹 랄라랄랄랄라 랄라라 뻐꾹 랄라랄랄랄라 랄라라 뻐꾹 랄라랄랄랄라 랄라라 뻐꾹 랄라랄랄라 뻐꾹,sostoken 뻐꾸기 초등학교 학년 과정,뻐꾸기 초등학교 학년 과정 eostoken
이슬 창작동요제,호롱 호롱 호롱 산새 소리 풀잎 송송 이슬 은쟁반 아가 색실 엄마 목걸이 호롱 호롱 호롱 산새 소리 풀잎 송송 이슬 간주 호롱 호롱 호롱 산새 소리 꽃잎 송송 이슬 해님 햇살 구름 호롱 호롱 호롱 산새 소리 꽃잎 송송 이슬,sostoken 이슬 창작동요제,이슬 창작동요제 eostoken
새싹들이다 창작동요제,마음 하늘 하늘 가슴 우리들 새싹들이 두리둥실 구름 씩씩 어깨 간주 마음 하늘 하늘 가슴 우리들 새싹들이 해님 세상 무지개 빛깔 우리 우리,sostoken 새싹들이다 창작동요제,새싹들이다 창작동요제 eostoken
같이 노래를 초등학교 학년 과정,아침 아침 햇빛 저녁 포근한 노래 노래 우리 앞날 무지개 꽃동산 간주 새봄 새싹 가을 가지 열매 노래 노래 우리 앞날 무지개 꽃동산,sostoken 같이 노래를 초등학교 학년 과정,같이 노래를 초등학교 학년 과정 eostoken
저금통,벙어리 저금통 우리 어린이 저축 알뜰 어린이 어린이 창구 언니 동전 부자 우리 어린이 저축 알뜰 어린이 간주 우리들 부자 우리나라 부자 우리 어린이 저축 알뜰 어린이,sostoken 저금통,저금통 eostoken
우체부 아저씨,아저씨 아저씨 우체부 아저씨 가방 어디가세요 가방 모자 간주 편지요 편지요 언니 온데요,sostoken 우체부 아저씨,우체부 아저씨 eostoken
괜찮아요 초등학교 학년 과정,쌩쌩 난난난 털오바 때문 털장갑 때문 씩씩 난난난 간주 난난난 털모자 때문 털구두 때문 용감 난난난,sostoken 괜찮아요 초등학교 학년 과정,괜찮아요 초등학교 학년 과정 eostoken
초등학교 학년 과정,눈이옵니다 눈이옵니다 하늘나라 선녀님 송이송이 간주 눈이옵니다 하늘 눈이옵니다 하늘나라 선녀님 가루 떡가루,sostoken 초등학교 학년 과정,초등학교 학년 과정 eostoken
안녕 초등학교 학년 과정,안녕 선생님 친구 인사 어린이 어린이 반복,sostoken 안녕 초등학교 학년 과정,안녕 초등학교 학년 과정 eostoken
잘잘잘,할머니 지팡이 잘잘잘 둘하 두부 장수 두부 잘잘잘 셋하 새색시 거울 잘잘잘 넷하 냇가 빨래 잘잘잘 다섯하 다람쥐 도토리 잘잘잘 여섯하 여학생 공부 잘잘잘 일곱하 일꾼들 나무 잘잘잘 여덟하 엿장수 호박엿 잘잘잘 아홉하 아버지 신문 잘잘잘 열하 열무 장수 열무 잘잘잘,sostoken 잘잘잘,잘잘잘 eostoken
리자로 끝나는 말은 초등학교 학년 과정,리자 괴나리 보따리 댑싸리 소쿠리 유리 항아리 리자 꾀꼬리 목소리 개나리 울타리 오리 마리,sostoken 리자로 끝나는 말은 초등학교 학년 과정,리자로 끝나는 말은 초등학교 학년 과정 eostoken
삐뚤빼뚤,삐뚤빼뚤 삐뚤빼뚤 짝짝짝 삐뚤빼뚤 삐뚤빼뚤 짝짝짝 삐뚤빼뚤 삐뚤빼뚤 쭈욱쭈욱 삐뚤빼뚤 삐뚤빼뚤 쭈욱쭈욱 쿵덕쿵덕 쿵더쿵 쿵덕쿵덕 쿵더쿵 오른발 왼발 오른발 왼발 쿵덕쿵덕 쿵더쿵 오른발 왼발 오른발 왼발 쿵덕 쿵더쿵 아래 아래 붕붕붕붕 붕붕붕붕 붕붕붕붕 붕붕붕붕 붕붕붕붕 붕붕붕붕 붕붕붕붕 하나 아래 아래 붕붕붕붕 붕붕붕붕 붕붕붕붕 붕붕붕붕 붕붕붕붕 붕붕붕붕 붕붕붕붕 하나,sostoken 삐뚤빼뚤,삐뚤빼뚤 eostoken
속의 음악가,음악 다람쥐 익숙 솜씨 바이올린 애애앵앵앵 애애앵앵앵 애애앵앵앵 애애앵앵앵 간주 음악 파랑새 익숙 솜씨 피리 삐리삐삐삐 삐리삐삐삐 삐리삐삐삐 삐리삐삐삐,sostoken 속의 음악가,속의 음악가 eostoken
얼룩 송아지,송아지 송아지 얼룩 송아지 엄마소 얼룩소 엄마 간주 송아지 송아지 얼룩 송아지 얼룩,sostoken 얼룩 송아지,얼룩 송아지 eostoken
무엇을 주련,무엇 음매 음매 우유 염소 염소 무엇 따뜻한 털옷 간주 암탉아 암탉아 무엇 꼬꼬댁 꼬꼬댁 놔줄 무엇 히힝 히힝,sostoken 무엇을 주련,무엇을 주련 eostoken
반달 초등학교 학년 과정,하늘 은하수 쪽배 계수나무 나무 토끼 마리 돛대 삿대 서쪽 나라 간주 은하수 구름 나라 구름 어디 비치 샛별 등대란다,sostoken 반달 초등학교 학년 과정,반달 초등학교 학년 과정 eostoken
가을맞이,실바람 오색가을 넘실넘실 넘날아오네 가을 오네 목동들 노래 코스모스 방실방실 간주 구름 금빛 넘실넘실 넘날아오네 붉은빛 가을 오네 돌돌돌돌 귀뚜라미 노래 팔랑팔랑,sostoken 가을맞이,가을맞이 eostoken
감자도리 고백송,상관 고백 두근두근 마음 새록새록 보고픈 마음 마음 누구 사랑 용기 고백 거울 패션쇼 어제 오늘 오늘 오늘 내일 내일 내일 모레 사랑 고백 고백 고백 평생 후회 고백 사랑 고백 사랑 사랑,sostoken 감자도리 고백송,감자도리 고백송 eostoken
동생 참새래요 창작동요제,동생 참새 짹짹짹짹 짹짹짹짹 입술 오물조물 동글 조용 숙제 노래 동생 짹짹 랄랄랄라 엄마 아빠 짹짹짹짹짹 동생 간주 동생 참새 짹짹짹짹 짹짹짹짹 조용 만화 친구 동생 짹짹 랄랄랄라 엄마 짹짹짹 동생 심술 동생,sostoken 동생 참새래요 창작동요제,동생 참새래요 창작동요제 eostoken
오리 가족,개울가 개나리 방긋방긋 노랑 하늘 햇살들 게으름뱅이 부지런 오리가족 봄나들이하 졸졸졸졸 엄마 뒤뚱뒤뚱 개울 시냇가 붕어들 몽글몽글 인사 하늘 뭉게구름 간주 아기 오리들 엄마 오리 땀방울 부지런 오리가족 봄나들이하,sostoken 오리 가족,오리 가족 eostoken
옹달샘,산속 옹달샘 누구 옹달샘 누구 새벽 토끼 세수 간주 산속 옹달샘 누구 옹달샘 누구 달밤 노루 숨바꼭질 가지요,sostoken 옹달샘,옹달샘 eostoken
시냇물,냇물 어디 강물 간주 강물아 어디 세상 바다,sostoken 시냇물,시냇물 eostoken
기러기 초등학교 학년 과정,가을밤 기러기들 어디 고단한 날개 갈대들 기러기 간주 우리 기러기들,sostoken 기러기 초등학교 학년 과정,기러기 초등학교 학년 과정 eostoken
장난감 기차,장난감 기차 퐁퐁퐁 장난감 기차 퐁퐁퐁 바퀴 마당 바퀴 간주 장난감 새마을 심술쟁이 아이,sostoken 장난감 기차,장난감 기차 eostoken
가게 놀이,재밌다 아이 재밌다 재밌다 과자 오십 그림책 재밌다 아이 재밌다 재밌다 반복,sostoken 가게 놀이,가게 놀이 eostoken
할아버지 농장,할아버지 농장 이야이야오 농장 오리 이야이야오 꽥꽥 할아버지 농장 이야이야오 반복,sostoken 할아버지 농장,할아버지 농장 eostoken
매미 초등학교 학년 과정,숲속 매미 노래 하늘 과수 열매 과수 열매 간주 숲속 매미 노래 이슬아침 가을 다가온다죠 가을 다가온다,sostoken 매미 초등학교 학년 과정,매미 초등학교 학년 과정 eostoken
누가 누가 잠자나,밤하늘 누구 누구 하늘나라 아기별 깜빡깜빡 간주 누구 누구 산새 들새 간주 포근포근 엄마 누구 누구 우리 아기 아기,sostoken 누가 누가 잠자나,누가 누가 잠자나 eostoken
산바람 강바람 초등학교 학년 과정,서늘 여름 나무꾼 나무 이마 준대요 반복 시원 사공 혼자 나룻배 간대요,sostoken 산바람 강바람 초등학교 학년 과정,산바람 강바람 초등학교 학년 과정 eostoken
짤랑짤랑,짤랑짤랑 짤랑짤랑 짤랑짤랑 짤랑짤랑 쭈욱쭈욱 으쓱으쓱으쓱 쭈욱쭈욱 랄랄랄랄 랄라 깡충깡충깡충 랄랄랄랄 랄랄랄라 랄랄랄랄 랄라 깡충깡충깡충 랄랄랄라 하늘 뚝딱딱 통통통 하늘 뚝딱뚝딱뚝딱 통통통 데구루루 데구루루,sostoken 짤랑짤랑,짤랑짤랑 eostoken
개구리 초등학교 학년 과정,개굴개굴 개구리 노래 아들 손자며느리 밤새 사람 개굴개굴 개구리 노래 개굴개굴 개구리 목청 반복,sostoken 개구리 초등학교 학년 과정,개구리 초등학교 학년 과정 eostoken
초막집,숲속 초막집 창가 아이 토끼 마리 포수 쏜대요 토끼 반복,sostoken 초막집,초막집 eostoken
다섯 작은 꾀꼬리,다섯 꾀꼬리 나무 마리 꾀꼬리 꾀꼬리 꾀꼬리 꾀꼬리 날으네 꾀꼬리 마루 마리 꾀꼬리 꾀꼬리 꾀꼬리 꾀꼬리 날으네 꾀꼬리 햇볕 마리 꾀꼬리 꾀꼬리 꾀꼬리 꾀꼬리 날으네 간주 꾀꼬리 지붕 마리 하나 꾀꼬리 꾀꼬리 꾀꼬리 꾀꼬리 날으네 꾀꼬리 꾀꼬리 꾀꼬리 꾀꼬리 꾀꼬리 날으,sostoken 다섯 작은 꾀꼬리,다섯 작은 꾀꼬리 eostoken
어린 음악대,따따따 따따따 주먹 따따따 따따따 나팔 우리들 음악대 동네 간주 쿵작작 쿵작작 차돌 쿵작작 쿵작작 구경꾼 어른들 하나 따따따 따따따 주먹 따따따 따따따 나팔 우리들 음악대 동네,sostoken 어린 음악대,어린 음악대 eostoken
목장길따라,목장길 밤길 고운님 목장길 밤길 고운님 스타도 스타도 스타도라품바 스타도라품바 스타도라품바 스타도 스타도 스타도라품바 스타도라품바 품품품 근처 두견새 사랑 고백 근처 두견새 사랑 고백 스타도 스타도 스타도라품바 스타도라품바 스타도라품바 스타도 스타도 스타도라품바 스타도라품바 품품품,sostoken 목장길따라,목장길따라 eostoken
하얀 나라,세상 나라 어젯밤 꿈속 썰매 눈싸움했죠 눈사람 세상 나라 어젯밤 꿈속 반복,sostoken 하얀 나라,하얀 나라 eostoken
과일의 노래,빨강빨강 이름 자두 여러분 여러분 이름 자두 자두 과일 노랑노랑 이름 살구 여러분 여러분 이름 살구 살구 과일 빨강빨강 이름 딸기 여러분 여러분 이름 딸기 딸기 과일,sostoken 과일의 노래,과일의 노래 eostoken
하늘나라 동화 창작동요제,동산 하늘 천사 얼굴 선녀 얼굴 마음속 하늘 실바람 날개 천사들 간주 동산 하늘 천사 얼굴 선녀 얼굴 마음속 하늘 실바람 선녀들 뛰어놀고,sostoken 하늘나라 동화 창작동요제,하늘나라 동화 창작동요제 eostoken
어머님 은혜 초등학교 학년 과정,하늘 하나 어머님 은혜 하늘 간주 바다 하나 사람 어머님 은혜,sostoken 어머님 은혜 초등학교 학년 과정,어머님 은혜 초등학교 학년 과정 eostoken
등대지기 초등학교 학년 과정,달그림자 물결 한겨울 생각 등대 사람 거룩 사랑 마음 간주 비바람 바다 천지 등대 사람 거룩한 정성이 바다,sostoken 등대지기 초등학교 학년 과정,등대지기 초등학교 학년 과정 eostoken
모래성,모래성 차례 아이들 하나 모래성 간주 물결 자취 모래성 하나 파도 어두움 마을 호롱불,sostoken 모래성,모래성 eostoken
소나무,소나무 소나무 쓸쓸 가을날 눈보라 소나무 소나무 반복,sostoken 소나무,소나무 eostoken
새봄 창작동요제,하늘 아지랑이 풀피리 소리 눈꽃 나비 꽃바람 진달래 산새 간주 하늘 버들가지 여울물 소리 장단 나비 꽃바람 개나리 산새 얘기하자,sostoken 새봄 창작동요제,새봄 창작동요제 eostoken
과꽃 초등학교 학년 과정,올해 과꽃 꽃밭 누나 과꽃 꽃밭 간주 과꽃 누나 얼굴 소식 누나 가을,sostoken 과꽃 초등학교 학년 과정,과꽃 초등학교 학년 과정 eostoken
어느 창작동요제,돌배 꽃잎 낮달 구름 낮잠 꿀벌 낮달 떠날라 돌배 꽃잎 낮달 구름 낮잠 간주 꿀벌아 낮달 떠날라 돌배 꽃잎 낮달 구름 낮잠,sostoken 어느 창작동요제,어느 창작동요제 eostoken
오는 소리 초등학교 학년 과정,땅속 꽃씨 언덕 숨결 소리 포시시 꽃망울 소리 간주 나무 뿌리 맥박 소리 쏙쏙쏙 고개 밭가 냉이들 소리,sostoken 오는 소리 초등학교 학년 과정,오는 소리 초등학교 학년 과정 eostoken
나란히나란히 초등학교 학년 과정,밥상 젓가락 댓돌 신발들 짐수레 바퀴들 학교길 동무들 반복,sostoken 나란히나란히 초등학교 학년 과정,나란히나란히 초등학교 학년 과정 eostoken
파란 나라,파란나라 사랑 가득 파란나라 천사들 파란나라 강물 파란나라 울타리 찌르찌르 파랑새 안데르센 무지개 파란나라 하늘 거기 동화책 텔레비전 아빠 엄마 아무리봐 사람 누구 한번 생각 우리 한번 세상 마음 한마음 간주 찌르찌르 파랑새 안데르센 무지개 파란나라 파란하늘 거기 동화책 텔레비전 아빠 엄마 사람 누구 한번 생각 우리 한번 세상 마음 한마음 우리 한번 세상 마음 한마음 우리 한번 세상 마음 한마음 우리 어린이,sostoken 파란 나라,파란 나라 eostoken
텔레비전,텔레비전 텔레비전 얼굴 텔레비전 텔레비전 엄마 텔레비전 엄마 아기 엄마 텔레비전 엄마 간주 텔레비전 텔레비전 얼굴 텔레비전,sostoken 텔레비전,텔레비전 eostoken
활짝 웃어요,걱정 스마 스마 스마 어린이답 세상 걱정 걱정 스마 스마 스마 반복,sostoken 활짝 웃어요,활짝 웃어요 eostoken
주먹 쥐고,주먹 손뼉 주먹 손뼉 머리 해님 해님 해님 주먹 손뼉 주먹 손뼉 머리 나비 나비 나비 간주 주먹 손뼉 주먹 손뼉 머리 나팔 뚜뚜 나팔 뚜뚜 나팔 뚜뚜 나팔 불어요,sostoken 주먹 쥐고,주먹 쥐고 eostoken
병원차와 소방차,병원차 삐뽀삐뽀 삐뽀삐뽀 사람 삐뽀삐뽀 병원 삐뽀삐뽀 간주 소방차 애앵애앵 애앵애앵 애앵애앵 애앵애앵앵,sostoken 병원차와 소방차,병원차와 소방차 eostoken
작은 세상,희망 공포 우리 세상 우리 세상 희망 공포 우리 세상,sostoken 작은 세상,작은 세상 eostoken
미술 시간 창작동요제,미술 시간 시끄럽긴 미술 시간 빨주노초파남보 무지개 탐스러운 사과 열리 미술 시간 우리들 마술사 미술 시간 우리들 세상 반복,sostoken 미술 시간 창작동요제,미술 시간 창작동요제 eostoken
그러면 안돼,아이스크림 하나 꾸르르르르 꾸르르르르 꾸륵 꾸륵 골치 병원 주사 동생들 또먹겠대요 떼엑 반복,sostoken 그러면 안돼,그러면 안돼 eostoken
기운이나요,아침 마당 잡곡밥 기운 이웃 마음 기운 반복,sostoken 기운이나요,기운이나요 eostoken
감자도리쏭,도리 도리 도리 도리 감자도리 빨간망또 감자도리 고구마 모험 오바겅쥬 유혹 감자도리 마법 보석 감자도리 오늘 가슴 콩닥콩당 널위해 두려움 어려움 당연한걸 꿈인걸 정말 다정다감 순수만점 감자도리 우리 내일 소원 고구마 있을걸 다정다감 순수만점 감자도리 우리 내일 소원 고구마 있을걸,sostoken 감자도리쏭,감자도리쏭 eostoken
파란 가을 하늘 초등학교 학년 과정,하늘 아래 단풍잎 바구니 가을 간주 따슨 햇빛 장대 가을,sostoken 파란 가을 하늘 초등학교 학년 과정,파란 가을 하늘 초등학교 학년 과정 eostoken
겨울밤,부엉 부엉새 부엉 춥다고 우리들 할머니 옛날이야기 가랑잎 춥다고 우리들 화롯가 옹말졸망 먹지요,sostoken 겨울밤,겨울밤 eostoken
꼬까신 초등학교 학년 과정,개나리 노오란 꽃그늘 아래 꼬까 신하 아기 맨발 나들이 꼬까신 하나 반복,sostoken 꼬까신 초등학교 학년 과정,꼬까신 초등학교 학년 과정 eostoken
빙고,앞집 이름 빙고라 빙고 이름 반복,sostoken 빙고,빙고 eostoken
짝짜꿍,엄마 짝짜꿍 아빠 짝짜꿍 엄마 한숨 아빠 주름살 간주 해님 짝짜꿍 도리도리 짝짜꿍 우리 엄마 우리 아빠,sostoken 짝짜꿍,짝짜꿍 eostoken
바둑이 방울,달랑달랑 달랑달랑 바둑 방울 학교 마중 꼬리 달랑달랑 달랑달랑 바둑 방울 간주 달랑달랑 달랑달랑 바둑 방울 대문 삐걱 달랑달랑 달랑달랑 바둑 방울,sostoken 바둑이 방울,바둑이 방울 eostoken
개구리 유치원,개구리 유치원 연못 공부한대요 파닥파닥 텀벙텀벙 간주 헤엄 개구리 선생님 파닥파닥 텀벙텀벙,sostoken 개구리 유치원,개구리 유치원 eostoken
다람쥐,산골짜기 다람쥐 아기 다람쥐 도토리 점심가지 소풍 다람쥐 다람쥐 재주 한번 파알딱 파알딱팔딱 반복,sostoken 다람쥐,다람쥐 eostoken
노래는 즐겁다 초등학교 학년 과정,노래 멧새 비배쫑 비배쫑 비배쫑 배쫑배쫑 노래 동무 간주 노래 냇물 졸졸졸졸 노래 동무,sostoken 노래는 즐겁다 초등학교 학년 과정,노래는 즐겁다 초등학교 학년 과정 eostoken
서로서로 도와가며 초등학교 학년 과정,아랫집 윗집 사이 울타리 여기 한집 우리 한겨레다 단군 자손 간주 우리 너희 사이 울타리 잘못 용서 형제 우리 한겨레다 단군 자손,sostoken 서로서로 도와가며 초등학교 학년 과정,서로서로 도와가며 초등학교 학년 과정 eostoken
기찻길,기찻길 오막살이 아기 아기 칙칙폭폭 칙칙폭폭 칙칙폭폭 기차 소리 요란해 아기 아기 간주 기찻길 옥수수밭 옥수수 칙칙폭폭 칙칙폭폭 칙칙폭폭 기차 소리 요란해 옥수수,sostoken 기찻길,기찻길 eostoken
눈꽃새,하얀 마음 간주 빨강 빨강 마음 파랑새 파랑새 파란,sostoken 눈꽃새,눈꽃새 eostoken
둥근,보름달 동산 마을 대낮 환해요 초가집 지붕 박꽃 활짝들 달구경 반복,sostoken 둥근,둥근 eostoken
둘이 살짝 초등학교 학년 과정,왼쪽 무릎치 어깨치 손뼉 손뼉 무릎치 어깨치 손뼉 손뼉 왼쪽 반복,sostoken 둘이 살짝 초등학교 학년 과정,둘이 살짝 초등학교 학년 과정 eostoken
병아리,삐요 삐요 병아리 노래 노래 병아리 아장 아장 병아리 병아리 소꿉놀자 삐요 삐요 병아리 노래 노래 병아리,sostoken 병아리,병아리 eostoken
한국을 빛낸 명의 위인들,금수강산 단군 할아버지 홍익인간 대대손손 훌륭 인물 고구 동명왕 백제 온조왕 혁거세 만주벌판 광개토대왕 이사부 백결선생 떡방아 삼천궁녀 의자왕 황산벌 계백 관창 역사 말목 김유 문무왕 원효대사 해골 혜초 천축국 바다 왕자 장보 대조영 귀주대첩 강감찬 서희 거란족 정치 정중부 화포 최무선 죽림칠현 김부식 지눌국사 조계종 의천 천태종 대마도정벌 이종무 일편단심 정몽주 목화씨 문익점 해동공자 최충 삼국유사 일연 역사 간주 황금 최영 장군 말씀 황희 정승 맹사성 과학 장영실 숙주 한명회 역사 양병 이율곡 이퇴계 사임당 오죽헌 곽재우 조헌 김시민 이순신 태정태세문단세 사육신 생육신 논개 행주치마 권율 역사 홍길동 의적 임꺽정 대쪽 삼학사 어사 박문수 삼년 공부 한석봉 단원 풍속 방랑시인 김삿갓 김정호 영조대왕 신문 정조 규장각 목민심 정약용 녹두장군 전봉준 순교 김대건 서화가무 황진 홍경래 삼일천하 김옥균 안중근 애국 이완용 매국 역사 별헤 윤동주 종두 지석영 삼십삼 손병희 만세만세 유관순 도산 안창호 어린이날 방정환 이수일 심순애 장군 아들 김두한 날자꾸 이상 황소그림 중섭 역사,sostoken 한국을 빛낸 명의 위인들,한국을 빛낸 명의 위인들 eostoken
축하합니다 생일 축하 노래,축하 축하 당신 생일 축하 축하 축하 당신 생일 축하 하늘 별빛 방안 따사로운 웃음 우리 사랑 따뜻한 마음 축하 축하 당신 생일 축하 축하 축하 당신 생일 축하 반복,sostoken 축하합니다 생일 축하 노래,축하합니다 생일 축하 노래 eostoken
